Contexto;Pregunta;Opción 1;Opción 2;Opción 3;Opción 4;Respuesta Correcta;Nueva Columna
"En 2014 el cuerpo estudiantil de Notre Dame constaba de 12.179 estudiantes, con 8.448 estudiantes universitarios, 2.138 graduados y profesionales y 1.593 profesionales (Law, M.Div., Business, M.Ed.) Estudiantes. Alrededor del 21-24% de los estudiantes son hijos de ex alumnos, y aunque el 37% de los estudiantes provienen del Medio Oeste de Estados Unidos, el cuerpo estudiantil representa los 50 estados y 100 países. En marzo de 2007, The Princeton Review clasificó a la escuela como la quinta escuela de sueños más alta para que los padres enviaran a sus hijos. En marzo de 2015, The Princeton Review clasificó a Notre Dame como la novena más alta. La escuela ha sido criticada previamente por su falta de diversidad, y The Princeton Review clasifica a la universidad en gran medida entre las escuelas en las que Alternativa de Vida [son] No es una Alternativa. También ha sido elogiado por algunas publicaciones orientadas a la diversidad; Hispanic Magazine en 2004 clasificó a la universidad en el noveno lugar en su lista de los 25 mejores colegios de latinos, y The Journal of Blacks in Higher Education reconoció a la universidad en 2006 por la inscripción de estudiantes afroamericanos. Con 6.000 participantes, el programa deportivo intramural de la universidad fue nombrado en 2004 por Sports Illustrated como el mejor programa del país, mientras que en 2007 The Princeton Review lo nombró como la escuela superior donde Everyone Plays Intramural Sports. El torneo anual Bookstore Basketball es el mayor torneo al aire libre de cinco contra cinco en el mundo con más de 700 equipos participantes cada año, mientras que el Notre Dame Men 's Boxing Club acoge el torneo anual Bengal Bouts.";¿Cuántos equipos participan en el torneo de baloncesto de la librería de Notre Dame?;más de 700;El torneo anual Bookstore Basketball de Notre Dame tiene solo 20 equipos participantes cada año.;El torneo anual Bookstore Basketball de Notre Dame cuenta con entre 1000 y 1500 equipos participantes cada año.;El torneo de baloncesto de la librería de Notre Dame cuenta con entre 300 y 500 equipos participantes cada año.;más de 700;Valor Predeterminado
"En 2014 el cuerpo estudiantil de Notre Dame constaba de 12.179 estudiantes, con 8.448 estudiantes universitarios, 2.138 graduados y profesionales y 1.593 profesionales (Law, M.Div., Business, M.Ed.) Estudiantes. Alrededor del 21-24% de los estudiantes son hijos de ex alumnos, y aunque el 37% de los estudiantes provienen del Medio Oeste de Estados Unidos, el cuerpo estudiantil representa los 50 estados y 100 países. En marzo de 2007, The Princeton Review clasificó a la escuela como la quinta escuela de sueños más alta para que los padres enviaran a sus hijos. En marzo de 2015, The Princeton Review clasificó a Notre Dame como la novena más alta. La escuela ha sido criticada previamente por su falta de diversidad, y The Princeton Review clasifica a la universidad en gran medida entre las escuelas en las que Alternativa de Vida [son] No es una Alternativa. También ha sido elogiado por algunas publicaciones orientadas a la diversidad; Hispanic Magazine en 2004 clasificó a la universidad en el noveno lugar en su lista de los 25 mejores colegios de latinos, y The Journal of Blacks in Higher Education reconoció a la universidad en 2006 por la inscripción de estudiantes afroamericanos. Con 6.000 participantes, el programa deportivo intramural de la universidad fue nombrado en 2004 por Sports Illustrated como el mejor programa del país, mientras que en 2007 The Princeton Review lo nombró como la escuela superior donde Everyone Plays Intramural Sports. El torneo anual Bookstore Basketball es el mayor torneo al aire libre de cinco contra cinco en el mundo con más de 700 equipos participantes cada año, mientras que el Notre Dame Men 's Boxing Club acoge el torneo anual Bengal Bouts.";¿Por qué se recauda dinero en el torneo de los Bouts de Bengala en Notre Dame?;El torneo se utiliza como una plataforma para recaudar fondos para la construcción de un nuevo gimnasio en campus.;El torneo anual Bengal está organizado en colaboración con una empresa de tecnología que requiere fondos para su crecimiento.;Se recauda dinero para apoyar a los entrenadores de boxeo.;torneo anual Bengal;torneo anual Bengal;Valor Predeterminado
Alrededor del 80% de los estudiantes universitarios y el 20% de los estudiantes graduados viven en el campus. La mayoría de los estudiantes de posgrado en el campus viven en uno de los cuatro complejos de alojamiento de graduados en el campus, mientras que todos los estudiantes universitarios viven en una de las 29 residencias. Debido a la afiliación religiosa de la universidad, todas las residencias son de un solo sexo, con 15 dormitorios masculinos y 14 dormitorios femeninos. La universidad mantiene una política de visita (conocida como horas parietales) para aquellos estudiantes que viven en dormitorios, especificando tiempos cuando a los miembros del sexo opuesto se les permite visitar las habitaciones de otros estudiantes. Sin embargo, todas las residencias tienen espacios sociales de 24 horas para los estudiantes, independientemente del género. Muchas residencias tienen al menos una monja y / o un sacerdote como residente. No hay fraternidades o hermandades sociales tradicionales en la universidad, pero la mayoría de los estudiantes viven en la misma residencia durante los cuatro años. Algunos deportes intramuros se basan en equipos de residencia, donde la universidad ofrece el único programa de academia no militar de fútbol americano intramural de pleno contacto. Al final de la temporada, el juego de campeonato se juega en el campo en el Estadio Notre Dame.;¿Qué porcentaje de subgradas viven en el campus de Notre Dame?;75%;50%;60%;80%;80%;Valor Predeterminado
Alrededor del 80% de los estudiantes universitarios y el 20% de los estudiantes graduados viven en el campus. La mayoría de los estudiantes de posgrado en el campus viven en uno de los cuatro complejos de alojamiento de graduados en el campus, mientras que todos los estudiantes universitarios viven en una de las 29 residencias. Debido a la afiliación religiosa de la universidad, todas las residencias son de un solo sexo, con 15 dormitorios masculinos y 14 dormitorios femeninos. La universidad mantiene una política de visita (conocida como horas parietales) para aquellos estudiantes que viven en dormitorios, especificando tiempos cuando a los miembros del sexo opuesto se les permite visitar las habitaciones de otros estudiantes. Sin embargo, todas las residencias tienen espacios sociales de 24 horas para los estudiantes, independientemente del género. Muchas residencias tienen al menos una monja y / o un sacerdote como residente. No hay fraternidades o hermandades sociales tradicionales en la universidad, pero la mayoría de los estudiantes viven en la misma residencia durante los cuatro años. Algunos deportes intramuros se basan en equipos de residencia, donde la universidad ofrece el único programa de academia no militar de fútbol americano intramural de pleno contacto. Al final de la temporada, el juego de campeonato se juega en el campo en el Estadio Notre Dame.;¿Cuántas áreas de vivienda estudiantil están reservadas para los estudiantes graduados de Notre Dame?;Tres complejos de alojamiento de graduados;cuatro complejos de alojamiento de graduados;Veinte residencias;Dos residencias;cuatro complejos de alojamiento de graduados;Valor Predeterminado
Alrededor del 80% de los estudiantes universitarios y el 20% de los estudiantes graduados viven en el campus. La mayoría de los estudiantes de posgrado en el campus viven en uno de los cuatro complejos de alojamiento de graduados en el campus, mientras que todos los estudiantes universitarios viven en una de las 29 residencias. Debido a la afiliación religiosa de la universidad, todas las residencias son de un solo sexo, con 15 dormitorios masculinos y 14 dormitorios femeninos. La universidad mantiene una política de visita (conocida como horas parietales) para aquellos estudiantes que viven en dormitorios, especificando tiempos cuando a los miembros del sexo opuesto se les permite visitar las habitaciones de otros estudiantes. Sin embargo, todas las residencias tienen espacios sociales de 24 horas para los estudiantes, independientemente del género. Muchas residencias tienen al menos una monja y / o un sacerdote como residente. No hay fraternidades o hermandades sociales tradicionales en la universidad, pero la mayoría de los estudiantes viven en la misma residencia durante los cuatro años. Algunos deportes intramuros se basan en equipos de residencia, donde la universidad ofrece el único programa de academia no militar de fútbol americano intramural de pleno contacto. Al final de la temporada, el juego de campeonato se juega en el campo en el Estadio Notre Dame.;¿Cuántos dormitorios para varones están en el campus de Notre Dame?;15;22;10;8;15;Valor Predeterminado
Alrededor del 80% de los estudiantes universitarios y el 20% de los estudiantes graduados viven en el campus. La mayoría de los estudiantes de posgrado en el campus viven en uno de los cuatro complejos de alojamiento de graduados en el campus, mientras que todos los estudiantes universitarios viven en una de las 29 residencias. Debido a la afiliación religiosa de la universidad, todas las residencias son de un solo sexo, con 15 dormitorios masculinos y 14 dormitorios femeninos. La universidad mantiene una política de visita (conocida como horas parietales) para aquellos estudiantes que viven en dormitorios, especificando tiempos cuando a los miembros del sexo opuesto se les permite visitar las habitaciones de otros estudiantes. Sin embargo, todas las residencias tienen espacios sociales de 24 horas para los estudiantes, independientemente del género. Muchas residencias tienen al menos una monja y / o un sacerdote como residente. No hay fraternidades o hermandades sociales tradicionales en la universidad, pero la mayoría de los estudiantes viven en la misma residencia durante los cuatro años. Algunos deportes intramuros se basan en equipos de residencia, donde la universidad ofrece el único programa de academia no militar de fútbol americano intramural de pleno contacto. Al final de la temporada, el juego de campeonato se juega en el campo en el Estadio Notre Dame.;¿Cuántos dormitorios hay para mujeres en Notre Dame?;Todos los 15 dormitorios masculinos de la universidad son residencias para mujeres.;Hay 10 dormitorios para mujeres en Notre Dame.;En total hay 16 dormitorios para mujeres en Notre Dame.;14;14;Valor Predeterminado
La universidad está afiliada a la Congregación de Santa Cruz (latín: Congregatio a Sancta Cruce, abreviado postnominals: CSC). Si bien la afiliación religiosa no es un criterio para la admisión, más del 93% de los estudiantes se identifican como cristianos, con más del 80% del total siendo católicos. Colectivamente, la misa católica se celebra más de 100 veces por semana en el campus, y un gran programa de ministerio del campus proporciona las necesidades de la fe de la comunidad. Hay multitud de estatuas religiosas y obras de arte alrededor del campus, la más prominente de las cuales son la estatua de María en el Edificio Principal, la Gruta de Notre Dame, y la Palabra de Vida que representa a Cristo como profesor. Además, cada aula muestra un crucifijo. Hay muchos clubes religiosos (católicos y no católicos) en la escuela, incluyendo el Consejo # 1477 de los Caballeros de Colón (KOC), el Ministerio Colegial Bautista (BCM), el Club Judío, la Asociación Cristiana. El Notre Dame KofC es conocido por ser el primer consejo colegial de KofC, que opera un puesto de concesión de caridad durante cada partido de fútbol en casa y poseer su propio edificio en el campus que puede ser utilizado como salón de cigarros. Cincuenta y siete capillas se encuentran en todo el campus.;¿Qué es la Congregación de Santa Cruz en latín?;Cofradía Católica de Santa Cruz;Orden de Santa Cruz;Congregatio a Sancto Crucis;Congregatio a Sancta Cruce;Congregatio a Sancta Cruce;Valor Predeterminado
La universidad está afiliada a la Congregación de Santa Cruz (latín: Congregatio a Sancta Cruce, abreviado postnominals: CSC). Si bien la afiliación religiosa no es un criterio para la admisión, más del 93% de los estudiantes se identifican como cristianos, con más del 80% del total siendo católicos. Colectivamente, la misa católica se celebra más de 100 veces por semana en el campus, y un gran programa de ministerio del campus proporciona las necesidades de la fe de la comunidad. Hay multitud de estatuas religiosas y obras de arte alrededor del campus, la más prominente de las cuales son la estatua de María en el Edificio Principal, la Gruta de Notre Dame, y la Palabra de Vida que representa a Cristo como profesor. Además, cada aula muestra un crucifijo. Hay muchos clubes religiosos (católicos y no católicos) en la escuela, incluyendo el Consejo # 1477 de los Caballeros de Colón (KOC), el Ministerio Colegial Bautista (BCM), el Club Judío, la Asociación Cristiana. El Notre Dame KofC es conocido por ser el primer consejo colegial de KofC, que opera un puesto de concesión de caridad durante cada partido de fútbol en casa y poseer su propio edificio en el campus que puede ser utilizado como salón de cigarros. Cincuenta y siete capillas se encuentran en todo el campus.;¿Cuántas capillas hay en el campus de Notre Dame?;Sesenta y nueve capillas;Cinquenta y dos capillas;Cuarenta y siete capillas;Cincuenta y siete;Cincuenta y siete;Valor Predeterminado
La universidad está afiliada a la Congregación de Santa Cruz (latín: Congregatio a Sancta Cruce, abreviado postnominals: CSC). Si bien la afiliación religiosa no es un criterio para la admisión, más del 93% de los estudiantes se identifican como cristianos, con más del 80% del total siendo católicos. Colectivamente, la misa católica se celebra más de 100 veces por semana en el campus, y un gran programa de ministerio del campus proporciona las necesidades de la fe de la comunidad. Hay multitud de estatuas religiosas y obras de arte alrededor del campus, la más prominente de las cuales son la estatua de María en el Edificio Principal, la Gruta de Notre Dame, y la Palabra de Vida que representa a Cristo como profesor. Además, cada aula muestra un crucifijo. Hay muchos clubes religiosos (católicos y no católicos) en la escuela, incluyendo el Consejo # 1477 de los Caballeros de Colón (KOC), el Ministerio Colegial Bautista (BCM), el Club Judío, la Asociación Cristiana. El Notre Dame KofC es conocido por ser el primer consejo colegial de KofC, que opera un puesto de concesión de caridad durante cada partido de fútbol en casa y poseer su propio edificio en el campus que puede ser utilizado como salón de cigarros. Cincuenta y siete capillas se encuentran en todo el campus.;¿Qué cantidad del cuerpo estudiantil de Notre Dame se identifica como católico?;Más de 90% del total estudiantil;más del 80%;Más del 75% de los estudiantes.;Más del 85% del cuerpo estudiantil.;más del 80%;Valor Predeterminado
Este edificio principal, y la colección de la biblioteca, fue completamente destruido por un incendio en abril de 1879, y la escuela cerró inmediatamente y los estudiantes fueron enviados a casa. El fundador de la universidad, Fr. Sorin y el presidente en ese momento, el Rev. William Corby, inmediatamente planeó la reconstrucción de la estructura que había albergado prácticamente toda la Universidad. La construcción se inició el 17 de mayo y por el increíble celo de administrador y trabajadores el edificio se completó antes del semestre de otoño de 1879. La colección de la biblioteca también fue reconstruida y se alojó en el nuevo edificio principal durante años. En la época del incendio, se abrió una sala de música. Con el tiempo se hizo conocido como Washington Hall, que acogió obras de teatro y actos musicales puestos por la escuela. En 1880, se estableció un programa de ciencia en la universidad, y se construyó un Science Hall (hoy LaFortune Student Center) en 1883. La sala albergaba múltiples aulas y laboratorios de ciencias necesarios para la investigación temprana en la universidad.;¿Cómo se llamaba el music hall de Notre Dame?;Washington Hall;Music Hall de Notre Dame;LaFortune Student Center;como Washington;como Washington;Valor Predeterminado
Este edificio principal, y la colección de la biblioteca, fue completamente destruido por un incendio en abril de 1879, y la escuela cerró inmediatamente y los estudiantes fueron enviados a casa. El fundador de la universidad, Fr. Sorin y el presidente en ese momento, el Rev. William Corby, inmediatamente planeó la reconstrucción de la estructura que había albergado prácticamente toda la Universidad. La construcción se inició el 17 de mayo y por el increíble celo de administrador y trabajadores el edificio se completó antes del semestre de otoño de 1879. La colección de la biblioteca también fue reconstruida y se alojó en el nuevo edificio principal durante años. En la época del incendio, se abrió una sala de música. Con el tiempo se hizo conocido como Washington Hall, que acogió obras de teatro y actos musicales puestos por la escuela. En 1880, se estableció un programa de ciencia en la universidad, y se construyó un Science Hall (hoy LaFortune Student Center) en 1883. La sala albergaba múltiples aulas y laboratorios de ciencias necesarios para la investigación temprana en la universidad.;¿En qué año se incendió el edificio principal de Notre Dame?; 1899;1879; 1880; 1883;1879;Valor Predeterminado
Este edificio principal, y la colección de la biblioteca, fue completamente destruido por un incendio en abril de 1879, y la escuela cerró inmediatamente y los estudiantes fueron enviados a casa. El fundador de la universidad, Fr. Sorin y el presidente en ese momento, el Rev. William Corby, inmediatamente planeó la reconstrucción de la estructura que había albergado prácticamente toda la Universidad. La construcción se inició el 17 de mayo y por el increíble celo de administrador y trabajadores el edificio se completó antes del semestre de otoño de 1879. La colección de la biblioteca también fue reconstruida y se alojó en el nuevo edificio principal durante años. En la época del incendio, se abrió una sala de música. Con el tiempo se hizo conocido como Washington Hall, que acogió obras de teatro y actos musicales puestos por la escuela. En 1880, se estableció un programa de ciencia en la universidad, y se construyó un Science Hall (hoy LaFortune Student Center) en 1883. La sala albergaba múltiples aulas y laboratorios de ciencias necesarios para la investigación temprana en la universidad.;¿Quién fue el presidente de Notre Dame en 1879?;Rev. William Corby;Monsignor Sullivan;Fr. Sorin;Rev;Rev;Valor Predeterminado
Este edificio principal, y la colección de la biblioteca, fue completamente destruido por un incendio en abril de 1879, y la escuela cerró inmediatamente y los estudiantes fueron enviados a casa. El fundador de la universidad, Fr. Sorin y el presidente en ese momento, el Rev. William Corby, inmediatamente planeó la reconstrucción de la estructura que había albergado prácticamente toda la Universidad. La construcción se inició el 17 de mayo y por el increíble celo de administrador y trabajadores el edificio se completó antes del semestre de otoño de 1879. La colección de la biblioteca también fue reconstruida y se alojó en el nuevo edificio principal durante años. En la época del incendio, se abrió una sala de música. Con el tiempo se hizo conocido como Washington Hall, que acogió obras de teatro y actos musicales puestos por la escuela. En 1880, se estableció un programa de ciencia en la universidad, y se construyó un Science Hall (hoy LaFortune Student Center) en 1883. La sala albergaba múltiples aulas y laboratorios de ciencias necesarios para la investigación temprana en la universidad.;¿En qué fecha se inició la reconstrucción del edificio principal en Notre Dame después del incendio que reclamó el anterior?;17 de mayo;31 de marzo;1 de mayo;30 de abril;17 de mayo;Valor Predeterminado
Este edificio principal, y la colección de la biblioteca, fue completamente destruido por un incendio en abril de 1879, y la escuela cerró inmediatamente y los estudiantes fueron enviados a casa. El fundador de la universidad, Fr. Sorin y el presidente en ese momento, el Rev. William Corby, inmediatamente planeó la reconstrucción de la estructura que había albergado prácticamente toda la Universidad. La construcción se inició el 17 de mayo y por el increíble celo de administrador y trabajadores el edificio se completó antes del semestre de otoño de 1879. La colección de la biblioteca también fue reconstruida y se alojó en el nuevo edificio principal durante años. En la época del incendio, se abrió una sala de música. Con el tiempo se hizo conocido como Washington Hall, que acogió obras de teatro y actos musicales puestos por la escuela. En 1880, se estableció un programa de ciencia en la universidad, y se construyó un Science Hall (hoy LaFortune Student Center) en 1883. La sala albergaba múltiples aulas y laboratorios de ciencias necesarios para la investigación temprana en la universidad.;¿Cómo llegó a ser conocida la Sala de Ciencias de Notre Dame?;La Sala de Ciencias de Notre Dame fue conocida como Science Hall desde su construcción en 1883.;La Sala de Ciencias de Notre Dame fue conocida como Washington Hall.;La Sala de Ciencias de Notre Dame se conoció como LaFortune Student Center antes de ser renombrada para la sala de ciencias.;(hoy LaFortun;(hoy LaFortun;Valor Predeterminado
En 1919 el Padre James Burns se convirtió en presidente de Notre Dame, y en tres años produjo una revolución académica que llevó a la escuela a los estándares nacionales adoptando el sistema electivo y alejándose del tradicional énfasis académico y clásico de la universidad. Por el contrario, los colegios jesuitas, bastiones de conservadurismo académico, eran reacios a pasar a un sistema de electivos. Sus graduados fueron excluidos de la Harvard Law School por esa razón. Notre Dame continuó creciendo con los años, añadiendo más universidades, programas y equipos deportivos. En 1921, con la adición del Colegio de Comercio, Notre Dame había crecido de un pequeño colegio a una universidad con cinco universidades y una escuela de derecho profesional. La universidad continuó expandiéndose y añadiendo nuevas residencias y edificios con cada presidente posterior.;¿Qué tipo de educación se llevó a cabo en Notre Dame antes de adoptar los estándares nacionales?;artística;tradicional;religiosa;académico y;académico y;Valor Predeterminado
En 1919 el Padre James Burns se convirtió en presidente de Notre Dame, y en tres años produjo una revolución académica que llevó a la escuela a los estándares nacionales adoptando el sistema electivo y alejándose del tradicional énfasis académico y clásico de la universidad. Por el contrario, los colegios jesuitas, bastiones de conservadurismo académico, eran reacios a pasar a un sistema de electivos. Sus graduados fueron excluidos de la Harvard Law School por esa razón. Notre Dame continuó creciendo con los años, añadiendo más universidades, programas y equipos deportivos. En 1921, con la adición del Colegio de Comercio, Notre Dame había crecido de un pequeño colegio a una universidad con cinco universidades y una escuela de derecho profesional. La universidad continuó expandiéndose y añadiendo nuevas residencias y edificios con cada presidente posterior.;¿Qué universidad añadió Notre Dame en 1921?;Universidad de Michigan;Universidad de Irlanda;Colegio de Comercio;Universidad de Wisconsin-Madison;Colegio de Comercio;Valor Predeterminado
En 1919 el Padre James Burns se convirtió en presidente de Notre Dame, y en tres años produjo una revolución académica que llevó a la escuela a los estándares nacionales adoptando el sistema electivo y alejándose del tradicional énfasis académico y clásico de la universidad. Por el contrario, los colegios jesuitas, bastiones de conservadurismo académico, eran reacios a pasar a un sistema de electivos. Sus graduados fueron excluidos de la Harvard Law School por esa razón. Notre Dame continuó creciendo con los años, añadiendo más universidades, programas y equipos deportivos. En 1921, con la adición del Colegio de Comercio, Notre Dame había crecido de un pequeño colegio a una universidad con cinco universidades y una escuela de derecho profesional. La universidad continuó expandiéndose y añadiendo nuevas residencias y edificios con cada presidente posterior.;En 1919 un nuevo presidente de Notre Dame fue nombrado, ¿quién era?;Obispo Edward Sorin;Padre James Burns;Abad John Hughes;Padre Charles O'Malley;Padre James Burns;Valor Predeterminado
En 1919 el Padre James Burns se convirtió en presidente de Notre Dame, y en tres años produjo una revolución académica que llevó a la escuela a los estándares nacionales adoptando el sistema electivo y alejándose del tradicional énfasis académico y clásico de la universidad. Por el contrario, los colegios jesuitas, bastiones de conservadurismo académico, eran reacios a pasar a un sistema de electivos. Sus graduados fueron excluidos de la Harvard Law School por esa razón. Notre Dame continuó creciendo con los años, añadiendo más universidades, programas y equipos deportivos. En 1921, con la adición del Colegio de Comercio, Notre Dame había crecido de un pequeño colegio a una universidad con cinco universidades y una escuela de derecho profesional. La universidad continuó expandiéndose y añadiendo nuevas residencias y edificios con cada presidente posterior.;A lo largo de cuántos años se produjo el cambio a las normas nacionales emprendidas en Notre Dame a principios del siglo XX.;Cinco años;Siete años;tres años;Cuatro años;tres años;Valor Predeterminado
Una de las principales fuerzas impulsoras en el crecimiento de la Universidad fue su equipo de fútbol, el Notre Dame Fighting Irish. Knute Rockne se convirtió en entrenador en 1918. Bajo Rockne, los irlandeses registrarían un récord de 105 victorias, 12 derrotas y 5 empates. Durante sus 13 años los irlandeses ganaron tres campeonatos nacionales, tuvieron cinco temporadas invictas, ganaron el Rose Bowl en 1925, y produjeron jugadores como George Gipp y los Cuatro Jinetes. Knute Rockne tiene el mayor porcentaje de victorias (.881) en la historia del fútbol americano de la División I / FBS de la NCAA. Las ofensas de Rockne emplearon la caja de Notre Dame y sus defensas hicieron un esquema de 7-2-2. El último partido que entrenó Rockne fue el 14 de diciembre de 1930, cuando lideró a un grupo de Notre Dame contra los New York Giants en Nueva York.;El equipo de fútbol de Notre Dame consiguió un nuevo entrenador en 1918, ¿quién era?;Knute Rockne;Lou Saban;Knute Rockne;Paul Brown;Knute Rockne;Valor Predeterminado
Una de las principales fuerzas impulsoras en el crecimiento de la Universidad fue su equipo de fútbol, el Notre Dame Fighting Irish. Knute Rockne se convirtió en entrenador en 1918. Bajo Rockne, los irlandeses registrarían un récord de 105 victorias, 12 derrotas y 5 empates. Durante sus 13 años los irlandeses ganaron tres campeonatos nacionales, tuvieron cinco temporadas invictas, ganaron el Rose Bowl en 1925, y produjeron jugadores como George Gipp y los Cuatro Jinetes. Knute Rockne tiene el mayor porcentaje de victorias (.881) en la historia del fútbol americano de la División I / FBS de la NCAA. Las ofensas de Rockne emplearon la caja de Notre Dame y sus defensas hicieron un esquema de 7-2-2. El último partido que entrenó Rockne fue el 14 de diciembre de 1930, cuando lideró a un grupo de Notre Dame contra los New York Giants en Nueva York.;¿Cuál fue la cantidad de victorias que Knute Rockne alcanzó en Notre Dame mientras entrenador en jefe?;62;75;105;80;105;Valor Predeterminado
Una de las principales fuerzas impulsoras en el crecimiento de la Universidad fue su equipo de fútbol, el Notre Dame Fighting Irish. Knute Rockne se convirtió en entrenador en 1918. Bajo Rockne, los irlandeses registrarían un récord de 105 victorias, 12 derrotas y 5 empates. Durante sus 13 años los irlandeses ganaron tres campeonatos nacionales, tuvieron cinco temporadas invictas, ganaron el Rose Bowl en 1925, y produjeron jugadores como George Gipp y los Cuatro Jinetes. Knute Rockne tiene el mayor porcentaje de victorias (.881) en la historia del fútbol americano de la División I / FBS de la NCAA. Las ofensas de Rockne emplearon la caja de Notre Dame y sus defensas hicieron un esquema de 7-2-2. El último partido que entrenó Rockne fue el 14 de diciembre de 1930, cuando lideró a un grupo de Notre Dame contra los New York Giants en Nueva York.;¿En qué año ganó el Rose Bowl?;1925;1922;1918;1930;1925;Valor Predeterminado
Una de las principales fuerzas impulsoras en el crecimiento de la Universidad fue su equipo de fútbol, el Notre Dame Fighting Irish. Knute Rockne se convirtió en entrenador en 1918. Bajo Rockne, los irlandeses registrarían un récord de 105 victorias, 12 derrotas y 5 empates. Durante sus 13 años los irlandeses ganaron tres campeonatos nacionales, tuvieron cinco temporadas invictas, ganaron el Rose Bowl en 1925, y produjeron jugadores como George Gipp y los Cuatro Jinetes. Knute Rockne tiene el mayor porcentaje de victorias (.881) en la historia del fútbol americano de la División I / FBS de la NCAA. Las ofensas de Rockne emplearon la caja de Notre Dame y sus defensas hicieron un esquema de 7-2-2. El último partido que entrenó Rockne fue el 14 de diciembre de 1930, cuando lideró a un grupo de Notre Dame contra los New York Giants en Nueva York.;¿Cuántos años fue el entrenador en jefe de Knute Rockne en Notre Dame?;12 años;10 años;13;15 años;13;Valor Predeterminado
Una de las principales fuerzas impulsoras en el crecimiento de la Universidad fue su equipo de fútbol, el Notre Dame Fighting Irish. Knute Rockne se convirtió en entrenador en 1918. Bajo Rockne, los irlandeses registrarían un récord de 105 victorias, 12 derrotas y 5 empates. Durante sus 13 años los irlandeses ganaron tres campeonatos nacionales, tuvieron cinco temporadas invictas, ganaron el Rose Bowl en 1925, y produjeron jugadores como George Gipp y los Cuatro Jinetes. Knute Rockne tiene el mayor porcentaje de victorias (.881) en la historia del fútbol americano de la División I / FBS de la NCAA. Las ofensas de Rockne emplearon la caja de Notre Dame y sus defensas hicieron un esquema de 7-2-2. El último partido que entrenó Rockne fue el 14 de diciembre de 1930, cuando lideró a un grupo de Notre Dame contra los New York Giants en Nueva York.;¿Cuántos títulos nacionales se ganaron cuando Knute Rockne entrenó en Notre Dame?;Cuatro campeonatos nacionales;Dos campeonatos nacionales;Un campeonato nacional;tres campeonatos nacionales;tres campeonatos nacionales;Valor Predeterminado
El éxito de su equipo de fútbol hizo de Notre Dame un nombre familiar. El éxito de Note Dame reflejó el creciente estatus de irlandeses americanos y católicos en la década de 1920. Los católicos se reunieron alrededor del equipo y escucharon los juegos en la radio, especialmente cuando eliminó a las escuelas que simbolizaban el establecimiento protestante en América - Harvard, Yale, Princeton y Ejército. Sin embargo, este papel como buque insignia de alto perfil de la institución del catolicismo la convirtió en un blanco fácil del anticatolicismo. El episodio más notable de violencia fue el enfrentamiento entre los estudiantes de Notre Dame y el Ku Klux Klan en 1924. El nativismo y el anticatolicismo, especialmente cuando se dirigían a los inmigrantes, eran piedras angulares de la retórica del KKK, y Notre Dame era vista como un símbolo de la amenaza planteada por la Iglesia Católica. El Klan decidió tener un Klavern de una semana en South Bend. Los enfrentamientos con el cuerpo estudiantil comenzaron el 17 de marzo, cuando los estudiantes, conscientes de la animosidad anti-católica, bloquearon a los miembros del Klan de descender de sus trenes en la estación de South Bend y rasgaron la ropa del KKK. El 19 de mayo miles de estudiantes se reunieron en el centro de la ciudad para protestar por la Klavern, y sólo la llegada del presidente de la universidad Fr. Matthew Walsh impidió más enfrentamientos. Al día siguiente, el entrenador de fútbol Knute Rockne habló en una manifestación del campus e imploró a los estudiantes que obedecieran al presidente de la universidad y se abstuvieran de más violencia. Unos días más tarde la Klavern se disolvió, pero la hostilidad mostrada por los estudiantes fue un presagio y una contribución a la caída del KKK en Indiana.;Los católicos identificados con Notre Dame, ¿qué grupo religioso sintieron representado por Yale?;el establecimiento protestante;La comunidad judía;La Iglesia Ortodoxa;El establecimiento protestante;el establecimiento protestante;Valor Predeterminado
